[1710072049.834739]	KEY_ENTER(28)
[1710072055.202728]	KEY_K(37)
[1710072055.302726]	KEY_K(37)
[1710072055.538730]	KEY_E(18)
[1710072055.622726]	KEY_E(18)
[1710072055.626742]	KEY_Y(21)
[1710072055.686731]	KEY_Y(21)
[1710072055.738840]	KEY_SPACE(57)
[1710072055.846847]	KEY_SPACE(57)
[1710072056.66725]	KEY_L(38)
[1710072056.142738]	KEY_L(38)
[1710072056.286725]	KEY_O(24)
[1710072056.354728]	KEY_O(24)
[1710072056.366728]	KEY_G(34)
[1710072056.502725]	KEY_G(34)
[1710072056.678725]	KEY_SPACE(57)
[1710072056.770840]	KEY_SPACE(57)
[1710072056.994728]	KEY_T(20)
[1710072057.94838]	KEY_E(18)
[1710072057.130735]	KEY_T(20)
[1710072057.230746]	KEY_S(31)
[1710072057.250757]	KEY_T(20)
[1710072057.286720]	KEY_S(31)
[1710072057.298736]	KEY_E(18)
[1710072057.346729]	KEY_T(20)
[1710072061.182737]	KEY_LEFTCTRL(29)
[1710072061.230720]	KEY_C(46)
